mean1	mean2	sd1	sd2	sampleID
-15.222548	-14.72548	-5.482161	-4.265048	BSJI_BSJI_04212
1.5204337	-4.866302	-5.8808136	-5.5881457	BRIA_BRIA_20212
-13.247656	-12.411196	-5.5905533	-4.581196	BSJI_BSJI_04204
1.5610846	-4.784712	-5.8682747	-5.6271243	BRIA_BRIA_20240
-0.38898894	-1.4169505	-5.5855756	-5.197653	GSD_GSD_004181
-0.3999909	-1.386689	-5.5966554	-5.2126446	GSD_GSD_004371
18.538612	-18.97682	-5.675794	-4.9485073	COLL_COLL_00374
7.6236224	-11.83068	-5.2391677	-3.8385112	PEMB_PEMB_06630
10.924384	3.6970248	-4.156075	-5.456984	STAF_STAF_01361
15.530217	-4.370667	-3.9957778	-5.429853	WHIP_WHIP_09822
6.4894366	-5.221351	-5.2714095	-5.5716896	CAIR_CAIR_13037
0.009411602	-9.386242	-5.592205	-5.57125	ESSP_ESSP_04236
-1.4661887	-6.355529	-5.8708124	-5.181048	IBIZ_IBIZ_01084
7.685483	-11.849573	-5.2511578	-3.7693672	PEMB_PEMB_06642
19.754484	-19.599863	-5.8343635	-5.0172024	COLL_COLL_00379
7.683607	-11.831664	-5.2749043	-3.7727	PEMB_PEMB_06631
10.604727	3.6830888	-4.1403832	-5.739135	STAF_STAF_02991
15.431303	-4.2735415	-4.0164323	-5.4655166	WHIP_WHIP_09824
6.545025	-5.25951	-5.300901	-5.584091	CAIR_CAIR_13038
-0.058164507	-9.447982	-5.5210323	-5.5350685	ESSP_ESSP_04237
-1.4439696	-6.705188	-5.8391805	-5.0836387	IBIZ_IBIZ_01086
-2.1435018	-7.9246874	-6.037061	-5.223357	PAPI_PAPI_06685
11.1040745	1.0850189	-4.730518	-6.0865912	BOST_BOST_00950
10.720639	3.7180297	-4.1940374	-5.5162153	STAF_STAF_03137
15.581116	-4.4203424	-3.9817102	-5.492964	WHIP_WHIP_09887
-2.011481	-3.691411	-5.0210505	-5.41214	BORZ_BORZ_13141
-0.03269139	-9.455656	-5.5948315	-5.568859	ESSP_ESSP_04238
-1.4168912	-6.6639323	-5.82496	-5.0271215	IBIZ_IBIZ_01128
-2.1958103	-7.884678	-6.0867944	-5.2103786	PAPI_PAPI_07262
11.148035	1.1935575	-4.7212687	-6.202674	BOST_BOST_00965
6.4875107	-5.2538505	-5.260862	-5.737009	CAIR_CAIR_10026
10.768953	3.7180822	-4.1236215	-5.5570173	STAF_STAF_03139
11.23192	1.1117086	-4.6567116	-6.0136843	BOST_BOST_05412
-1.4155762	-6.694696	-5.8573804	-4.969494	IBIZ_IBIZ_01146
-3.9042315	-5.448488	-6.3691807	-5.4558363	SAMO_SAMO_14510
-1.8428941	-3.9858358	-5.2960725	-5.4869323	BORZ_BORZ_00978
7.4776964	-11.744428	-5.1798315	-3.8366852	PEMB_PEMB_06638
10.589082	3.6414025	-4.2280364	-5.741004	STAF_STAF_03579
11.392031	1.0949719	-4.7042704	-5.983469	BOST_BOST_08707
11.2194805	1.1335628	-4.7384734	-6.1563883	BOST_BOST_05413
-1.4949483	-6.647223	-5.8764997	-5.007	IBIZ_IBIZ_01148
-2.078781	-3.9361045	-5.1086683	-5.3907423	BORZ_BORZ_00979
5.101744	5.752244	-9.091618	-6.535234	BOX_BOX_012966
0.10234043	-8.732308	-5.6246886	-5.5592012	ESSP_ESSP_04235
7.4076614	-10.806588	-5.358415	-4.0595093	PEMB_PEMB_06640
6.334079	-5.247409	-5.2401714	-5.680722	CAIR_CAIR_09330
-1.3898448	-6.6198254	-5.83837	-5.038127	IBIZ_IBIZ_01316
-2.1779933	-7.791919	-6.033407	-5.3648086	PAPI_PAPI_06205
-2.2077024	-7.9213257	-6.068252	-5.234906	PAPI_PAPI_22901
12.280758	-16.361969	-5.4509063	-4.8880234	SSHP_SSHP_11617
8.644903	-6.525552	-5.8967466	-5.315685	SCOT_SCOT_20523
8.574273	-6.4339685	-5.781734	-5.3201694	SCOT_SCOT_24321
8.474417	-6.399469	-5.6863675	-5.470907	SCOT_SCOT_24497
8.064796	-6.0964603	-5.7910757	-5.37498	SCOT_SCOT_26418
-0.027279109	-14.924372	-5.521393	-4.842065	ACKR_ACKR_09007
7.5659704	-11.781944	-5.247565	-3.8783326	PEMB_PEMB_06636
-3.9595418	-5.389376	-6.2942967	-5.280304	SAMO_SAMO_14507
5.0500326	-3.7028706	-5.0833607	-5.610735	AUST_AUST_07422
5.0506244	-3.691452	-5.0893445	-5.621696	AUST_AUST_08659
3.0043495	-14.09552	-6.628236	-4.685952	BASS_BASS_10333
-0.13795921	-15.024512	-5.5546994	-4.763435	ACKR_ACKR_12453
-14.7818985	-19.057049	-5.795108	-5.089141	PEKE_PEKE_23359
10.663547	3.4568355	-4.2543683	-5.6274815	STAF_STAF_03144
4.9381976	-3.6516123	-5.1995144	-5.5444894	AUST_AUST_07260
-0.03425345	-14.902085	-5.4711986	-4.7785935	ACKR_ACKR_09030
3.295745	-5.168277	-5.951346	-5.5606413	LAB_LAB_011949
5.000693	-3.671232	-5.17286	-5.6723223	AUST_AUST_07720
5.17632	-3.7874873	-5.337306	-5.516972	AUST_AUST_08660
2.9975405	-14.785477	-6.7305756	-4.617328	BASS_BASS_10335
-2.031726	-3.6888754	-5.1249833	-5.347991	BORZ_BORZ_12818
-2.1570332	-7.900218	-6.1929545	-5.1792545	PAPI_PAPI_23524
10.949551	3.7262752	-4.1615057	-5.5856037	STAF_STAF_03163
-0.070668906	-14.96035	-5.486815	-4.700018	ACKR_ACKR_09032
20.110205	-20.091959	-5.7945914	-4.978164	COLL_COLL_07296
-1.3797373	-6.6809654	-5.832589	-4.999883	IBIZ_IBIZ_01088
3.3074014	-5.2582846	-5.913863	-5.5528364	LAB_LAB_012019
3.3571882	-5.3310575	-5.97633	-5.541889	LAB_LAB_022113
4.984086	-3.6681857	-5.181015	-5.6205587	AUST_AUST_07721
4.827241	-3.8155055	-5.0942655	-5.5516524	AUST_AUST_08661
2.9116259	-14.15584	-6.7116804	-4.685957	BASS_BASS_10342
-1.726817	-7.326056	-6.256698	-4.898794	DACH_DACH_08257
0.05813113	-9.15612	-5.6373944	-5.5592465	ESSP_ESSP_04198
3.241395	-5.273718	-5.973849	-5.5940084	LAB_LAB_012997
-14.67278	-19.061245	-5.8493543	-5.039546	PEKE_PEKE_24587
18.557135	-18.673384	-5.6979537	-4.9971075	COLL_COLL_07298
-1.4365374	-6.5246816	-5.94634	-5.068464	IBIZ_IBIZ_01281
14.440975	-5.9897213	-4.5406528	-6.5689516	ITGY_ITGY_08502
-14.870038	-19.234333	-5.833171	-4.9874125	PEKE_PEKE_22966
-3.9417381	-5.423439	-6.4041576	-5.3048315	SAMO_SAMO_28936
-1.0073332	-8.335824	-5.831404	-4.681303	TPOO_TPOO_09080
4.7457476	-3.7048733	-5.030652	-5.657254	AUST_AUST_08662
3.060944	-14.856487	-6.7968745	-4.644181	BASS_BASS_10350
-2.0339744	-3.7004519	-5.1387324	-5.2933936	BORZ_BORZ_13142
6.4184933	-5.089406	-5.3682284	-5.565135	CAIR_CAIR_07802
-1.6613072	-7.3479633	-6.1797338	-4.8709373	DACH_DACH_08260
0.085384995	-9.074314	-5.516966	-5.6716423	ESSP_ESSP_04232
14.571767	-6.0556355	-4.5612245	-6.589373	ITGY_ITGY_26972
4.613484	-12.440223	-5.709943	-4.852185	BEAG_BEAG_01324
5.386036	-15.81791	-5.942743	-4.4117794	BEAG_BEAG_07907
22.12477	-1.6263525	-5.2269	-5.2832246	BULM_BULM_28920
-0.0002612779	-14.769041	-5.452649	-4.7497616	ACKR_ACKR_09110
-0.095193714	-15.098776	-5.5136986	-4.7875786	ACKR_ACKR_12451
17.90907	-18.188242	-5.7468495	-5.0966954	COLL_COLL_07300
14.5409775	-6.0397453	-4.5584016	-6.573708	ITGY_ITGY_08506
-14.60928	-18.932951	-5.8381763	-5.0610037	PEKE_PEKE_23347
2.960237	-14.789219	-6.787989	-4.6471834	BASS_BASS_10351
5.3622627	-15.495903	-6.007137	-4.441951	BEAG_BEAG_07862
11.154177	1.0912836	-4.700313	-6.0371566	BOST_BOST_08698
-1.7511408	-7.4153733	-6.006867	-4.964199	DACH_DACH_08265
-0.039485723	-9.33347	-5.5358825	-5.5917635	ESSP_ESSP_04239
10.1629715	2.2422152	-4.5244155	-5.690296	FBUL_FBUL_13145
14.299799	-5.933815	-4.510021	-6.590293	ITGY_ITGY_27353
-14.490691	-18.729431	-5.783998	-5.078575	PEKE_PEKE_27448
4.9978056	-3.6060274	-5.1895113	-5.5868297	AUST_AUST_08658
5.3706617	-15.708172	-6.085771	-4.430645	BEAG_BEAG_01327
-0.24453625	-13.984671	-5.5443897	-4.8201904	ACKR_ACKR_09991
