mean1	mean2	sd1	sd2	sampleID
-3.3550494	2.4771214	-3.8576064	-4.414434	Yoruba_NA18508
-3.5604494	2.666826	-3.886831	-4.3533792	Yoruba_NA18516
-3.5061977	2.3651829	-3.8221142	-4.427023	Yoruba_NA18517
-3.2279608	2.4011607	-3.8200655	-4.4494324	Yoruba_NA18522
-3.3511465	2.302406	-3.8447673	-4.453871	Yoruba_NA18852
-3.3654518	2.2942607	-3.837338	-4.493887	Yoruba_NA18853
-3.6701844	2.4236264	-3.878136	-4.437134	Yoruba_NA18855
-3.4906943	2.5940971	-3.864456	-4.4372067	Yoruba_NA18856
-3.5723343	2.5431666	-3.8973308	-4.4407673	Yoruba_NA18858
-3.7627218	2.735198	-3.861653	-4.376286	Yoruba_NA18859
-3.805441	2.5531123	-3.896927	-4.3852053	Yoruba_NA18861
-3.4631875	2.3922992	-3.8958275	-4.451826	Yoruba_NA18862
-3.5232832	2.6090488	-3.8835995	-4.4135513	Yoruba_NA18870
-3.4360251	2.4938922	-3.8083005	-4.4365363	Yoruba_NA18871
-3.4841115	2.5432796	-3.842302	-4.437969	Yoruba_NA19093
-3.542454	2.557239	-3.852863	-4.4167433	Yoruba_NA19098
-3.5860305	2.6905422	-3.8708396	-4.355816	Yoruba_NA19099
-3.4655104	2.4728317	-3.8751824	-4.4030075	Yoruba_NA19101
-3.2758136	2.312928	-3.8251874	-4.483005	Yoruba_NA19102
-3.4357946	2.5569777	-3.8580163	-4.3913918	Yoruba_NA19116
-3.6252766	2.5450249	-3.8887768	-4.3434467	Yoruba_NA19119
-3.5942495	2.5351648	-3.8855102	-4.375173	Yoruba_NA19127
-3.59164	2.5508237	-3.8447926	-4.3940716	Yoruba_NA19128
-3.3254616	2.444187	-3.843578	-4.409568	Yoruba_NA19130
-3.3287497	2.4470572	-3.8681474	-4.4408774	Yoruba_NA19131
-3.471253	2.5790195	-3.886263	-4.36314	Yoruba_NA19137
-3.234732	2.311247	-3.8037002	-4.4153404	Yoruba_NA19138
-3.3664427	2.3601942	-3.8772738	-4.3870645	Yoruba_NA19141
-3.8138955	2.6527133	-3.8769112	-4.3427124	Yoruba_NA19143
-3.5237925	2.5688467	-3.8671153	-4.4328365	Yoruba_NA19144
-3.3207314	2.419692	-3.8457735	-4.4771156	Yoruba_NA19159
-3.4347098	2.4604049	-3.8668163	-4.413105	Yoruba_NA19160
-3.614625	2.5420582	-3.8575385	-4.4197736	Yoruba_NA19171
-3.3239164	2.276411	-3.8351953	-4.453478	Yoruba_NA19193
-3.4887254	2.5123346	-3.8372095	-4.393987	Yoruba_NA19201
-3.3815181	2.391793	-3.8898623	-4.3943267	Yoruba_NA19203
-3.4583223	2.3431487	-3.8777964	-4.4798756	Yoruba_NA19204
-3.6416173	2.5599031	-3.8727832	-4.4058566	Yoruba_NA19206
-3.4233463	2.3442864	-3.8206303	-4.455685	Yoruba_NA19207
-3.414485	2.3010893	-3.8420446	-4.4627085	Yoruba_NA19209
-3.3366745	2.3544297	-3.8421824	-4.48938	Yoruba_NA19210
-3.3542502	2.5502205	-3.8483815	-4.4135647	Yoruba_NA19222
-3.1720834	2.2573314	-3.820555	-4.4603496	Yoruba_NA19223
-3.3886788	2.5006933	-3.840823	-4.3720202	Yoruba_NA19238
-3.7193868	2.7104251	-3.8701355	-4.3452272	Yoruba_NA19239
-2.927809	-2.7170715	-4.5731115	-4.5753307	Abkhasian_abh107
-2.9346929	-2.7827241	-4.603823	-4.574671	Abkhasian_abh119
-3.0026262	-2.9151173	-4.616053	-4.507911	Abkhasian_abh122
-2.8350184	-2.8640168	-4.560849	-4.5716486	Abkhasian_abh133
-2.9355402	-2.7864783	-4.595793	-4.5674586	Abkhasian_abh147
-3.1444385	-2.573066	-4.58945	-4.577903	Abkhasian_abh154
-2.8773215	-2.5052464	-4.586495	-4.615652	Abkhasian_abh24
-3.0310252	-2.9488206	-4.620692	-4.529656	Abkhasian_abh27
-2.900133	-3.0271757	-4.63429	-4.5261626	Abkhasian_abh41
-2.9216092	-3.2547565	-4.7308083	-4.4753222	Adygei_HGDP01381
-2.9404972	-3.181489	-4.6629825	-4.492311	Adygei_HGDP01382
-2.962703	-2.9762988	-4.6518736	-4.5431485	Adygei_HGDP01383
-2.9680529	-3.1351917	-4.644207	-4.5069265	Adygei_HGDP01385
-3.0266635	-2.9939096	-4.6513457	-4.5189795	Adygei_HGDP01386
-2.9613914	-3.1685185	-4.7023506	-4.4993315	Adygei_HGDP01387
-3.0435894	-3.5405948	-4.7317686	-4.4101276	Adygei_HGDP01396
-2.8987646	-3.1530855	-4.6756725	-4.535508	Adygei_HGDP01397
-2.9396431	-2.9928355	-4.6367426	-4.4993443	Adygei_HGDP01398
-2.9861753	-3.080345	-4.651925	-4.476741	Adygei_HGDP01399
-3.0149014	-3.0418286	-4.631777	-4.4852257	Adygei_HGDP01400
-2.9200609	-3.0356035	-4.6851683	-4.515312	Adygei_HGDP01401
-2.9777544	-3.205257	-4.683098	-4.4624386	Adygei_HGDP01402
-3.0179033	-3.1845982	-4.675685	-4.438553	Adygei_HGDP01403
